id,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
1290,burgers,ground beef,spaghetti,mineral water,avocado,french fries,brownies,green tea,,,,,,,,,,,,
1291,tomatoes,ground beef,mineral water,muffins,escalope,protein bar,,,,,,,,,,,,,,
1292,salmon,,,,,,,,,,,,,,,,,,,
1293,shrimp,frozen vegetables,green tea,,,,,,,,,,,,,,,,,
1294,spaghetti,milk,olive oil,french fries,escalope,hot dogs,,,,,,,,,,,,,,
1295,turkey,green grapes,champagne,strawberries,green tea,,,,,,,,,,,,,,,
1296,burgers,,,,,,,,,,,,,,,,,,,
1297,herb & pepper,spaghetti,milk,energy bar,eggs,light cream,cooking oil,cereals,chocolate,frozen smoothie,,,,,,,,,,
1298,red wine,spaghetti,olive oil,cake,fresh bread,,,,,,,,,,,,,,,
1299,milk,cooking oil,chicken,chocolate,escalope,mushroom cream sauce,cottage cheese,,,,,,,,,,,,,
1300,energy bar,,,,,,,,,,,,,,,,,,,
1301,mineral water,,,,,,,,,,,,,,,,,,,
1302,eggs,,,,,,,,,,,,,,,,,,,
1303,frozen vegetables,chocolate,strawberries,,,,,,,,,,,,,,,,,
1304,mineral water,milk,olive oil,black tea,light mayo,,,,,,,,,,,,,,,
1305,french fries,,,,,,,,,,,,,,,,,,,
1306,turkey,milk,energy bar,whole wheat rice,yogurt cake,light mayo,,,,,,,,,,,,,,
1307,burgers,cream,chicken,cookies,,,,,,,,,,,,,,,,
1308,fresh bread,,,,,,,,,,,,,,,,,,,
1309,milk,,,,,,,,,,,,,,,,,,,
1310,tomato sauce,oil,clothes accessories,,,,,,,,,,,,,,,,,
1311,burgers,butter,,,,,,,,,,,,,,,,,,
1312,milk,pancakes,,,,,,,,,,,,,,,,,,
1313,grated cheese,spaghetti,,,,,,,,,,,,,,,,,,
1314,soup,barbecue sauce,cookies,,,,,,,,,,,,,,,,,
1315,turkey,burgers,whole wheat pasta,mineral water,milk,whole wheat rice,cake,cooking oil,frozen smoothie,brownies,fresh bread,honey,,,,,,,,
1316,turkey,vegetables mix,gums,green tea,,,,,,,,,,,,,,,,
1317,soup,fromage blanc,eggs,cake,carrots,frozen smoothie,,,,,,,,,,,,,,
1318,dessert wine,burgers,cake,frozen smoothie,toothpaste,,,,,,,,,,,,,,,
1319,grated cheese,eggplant,cereals,,,,,,,,,,,,,,,,,
1320,energy drink,,,,,,,,,,,,,,,,,,,
1321,muffins,,,,,,,,,,,,,,,,,,,
1322,energy drink,,,,,,,,,,,,,,,,,,,
1323,milk,green tea,,,,,,,,,,,,,,,,,,
1324,salmon,green tea,,,,,,,,,,,,,,,,,,
1325,eggs,cookies,green tea,,,,,,,,,,,,,,,,,
1326,cake,french fries,,,,,,,,,,,,,,,,,,
1327,grated cheese,herb & pepper,shrimp,ground beef,spaghetti,mineral water,eggs,light cream,rice,oil,brownies,melons,salad,,,,,,,
1328,soup,chocolate,candy bars,,,,,,,,,,,,,,,,,
1329,herb & pepper,shrimp,ground beef,chocolate,milk,olive oil,vegetables mix,rice,oil,frozen smoothie,brownies,white wine,,,,,,,,
1330,milk,chocolate,babies food,,,,,,,,,,,,,,,,,
1331,chocolate,spaghetti,mineral water,soup,muffins,eggs,chicken,french fries,fresh bread,mint,,,,,,,,,,
1332,protein bar,,,,,,,,,,,,,,,,,,,
1333,tomatoes,whole weat flour,green tea,fresh bread,white wine,,,,,,,,,,,,,,,
1334,green tea,pancakes,,,,,,,,,,,,,,,,,,
1335,frozen vegetables,whole wheat pasta,milk,french fries,mushroom cream sauce,,,,,,,,,,,,,,,
1336,chocolate bread,hand protein bar,,,,,,,,,,,,,,,,,,
1337,grated cheese,pepper,spaghetti,escalope,,,,,,,,,,,,,,,,
1338,fresh bread,white wine,,,,,,,,,,,,,,,,,,
1339,spaghetti,eggs,eggplant,,,,,,,,,,,,,,,,,
1340,milk,butter,pancakes,eggs,,,,,,,,,,,,,,,,
1341,turkey,grated cheese,tomatoes,,,,,,,,,,,,,,,,,
1342,yogurt cake,,,,,,,,,,,,,,,,,,,
1343,burgers,honey,escalope,,,,,,,,,,,,,,,,,
1344,oil,,,,,,,,,,,,,,,,,,,
1345,frozen vegetables,tomatoes,french fries,escalope,sparkling water,,,,,,,,,,,,,,,
1346,shrimp,spaghetti,mineral water,,,,,,,,,,,,,,,,,
1347,fresh bread,,,,,,,,,,,,,,,,,,,
1348,mineral water,eggs,,,,,,,,,,,,,,,,,,
1349,green tea,,,,,,,,,,,,,,,,,,,
1350,frozen vegetables,low fat yogurt,,,,,,,,,,,,,,,,,,
1351,cookies,,,,,,,,,,,,,,,,,,,
1352,escalope,,,,,,,,,,,,,,,,,,,
1353,cookies,water spray,,,,,,,,,,,,,,,,,,
1354,mashed potato,,,,,,,,,,,,,,,,,,,
1355,eggs,cooking oil,low fat yogurt,,,,,,,,,,,,,,,,,
1356,cake,,,,,,,,,,,,,,,,,,,
1357,mineral water,avocado,,,,,,,,,,,,,,,,,,
1358,parmesan cheese,ground beef,spaghetti,blueberries,rice,oil,cooking oil,green tea,chocolate,protein bar,,,,,,,,,,
1359,mineral water,,,,,,,,,,,,,,,,,,,
1360,milk,eggs,,,,,,,,,,,,,,,,,,
1361,ground beef,spaghetti,mineral water,milk,eggs,strawberries,toothpaste,,,,,,,,,,,,,
1362,cake,,,,,,,,,,,,,,,,,,,
1363,cookies,,,,,,,,,,,,,,,,,,,
1364,burgers,,,,,,,,,,,,,,,,,,,
1365,frozen vegetables,spaghetti,milk,cider,french fries,,,,,,,,,,,,,,,
1366,turkey,shrimp,frozen vegetables,mineral water,chocolate,olive oil,honey,,,,,,,,,,,,,
1367,eggs,,,,,,,,,,,,,,,,,,,
1368,turkey,tomatoes,spaghetti,mineral water,,,,,,,,,,,,,,,,
1369,burgers,spaghetti,low fat yogurt,green tea,,,,,,,,,,,,,,,,
1370,mineral water,eggs,,,,,,,,,,,,,,,,,,
1371,mineral water,cookies,,,,,,,,,,,,,,,,,,
1372,mineral water,salmon,,,,,,,,,,,,,,,,,,
1373,fresh tuna,tomatoes,tomato sauce,spaghetti,chocolate,eggs,honey,oil,eggplant,french fries,,,,,,,,,,
1374,mineral water,milk,honey,low fat yogurt,,,,,,,,,,,,,,,,
1375,herb & pepper,shrimp,tomatoes,milk,eggs,light cream,cooking oil,chili,chocolate,,,,,,,,,,,
1376,pancakes,eggs,french fries,,,,,,,,,,,,,,,,,
1377,french fries,brownies,,,,,,,,,,,,,,,,,,
1378,mineral water,milk,energy bar,barbecue sauce,chocolate,low fat yogurt,,,,,,,,,,,,,,
1379,fresh tuna,tomatoes,mineral water,eggs,honey,low fat yogurt,,,,,,,,,,,,,,
1380,soup,milk,bacon,whole wheat rice,cooking oil,chicken,ketchup,salt,magazines,,,,,,,,,,,
1381,chocolate,,,,,,,,,,,,,,,,,,,
1382,meatballs,green tea,,,,,,,,,,,,,,,,,,
1383,grated cheese,spaghetti,,,,,,,,,,,,,,,,,,
1384,grated cheese,pepper,green tea,,,,,,,,,,,,,,,,,
1385,turkey,spaghetti,mineral water,oil,mint green tea,energy drink,,,,,,,,,,,,,,
1386,chicken,french fries,,,,,,,,,,,,,,,,,,
1387,frozen vegetables,whole wheat pasta,ground beef,spaghetti,milk,eggs,green tea,,,,,,,,,,,,,
1388,eggs,,,,,,,,,,,,,,,,,,,
1389,shrimp,spaghetti,mineral water,cooking oil,escalope,low fat yogurt,,,,,,,,,,,,,,
1390,turkey,burgers,ground beef,milk,bacon,eggs,whole wheat rice,blueberries,cooking oil,green tea,,,,,,,,,,
1391,olive oil,,,,,,,,,,,,,,,,,,,
1392,turkey,tomatoes,eggs,chocolate,,,,,,,,,,,,,,,,
1393,burgers,shrimp,pasta,frozen vegetables,mineral water,chocolate,energy drink,protein bar,low fat yogurt,,,,,,,,,,,
1394,burgers,eggs,french fries,energy drink,,,,,,,,,,,,,,,,
1395,almonds,eggs,cooking oil,french fries,green tea,,,,,,,,,,,,,,,
1396,light mayo,,,,,,,,,,,,,,,,,,,
1397,frozen vegetables,whole wheat pasta,carrots,antioxydant juice,french fries,,,,,,,,,,,,,,,
1398,tomatoes,mineral water,meatballs,chicken,pancakes,eggs,whole wheat rice,,,,,,,,,,,,,
1399,shrimp,frozen vegetables,parmesan cheese,avocado,chicken,eggs,chocolate,frozen smoothie,,,,,,,,,,,,
1400,red wine,tomatoes,spaghetti,chocolate,chicken,bacon,pancakes,cake,rice,cooking oil,eggplant,green tea,tea,toothpaste,,,,,,
1401,spaghetti,mineral water,soup,cider,chutney,eggs,whole wheat rice,pet food,green tea,,,,,,,,,,,
1402,fresh tuna,herb & pepper,spaghetti,low fat yogurt,,,,,,,,,,,,,,,,
1403,fresh tuna,eggs,,,,,,,,,,,,,,,,,,
1404,chocolate,escalope,pasta,honey,,,,,,,,,,,,,,,,
1405,fresh bread,,,,,,,,,,,,,,,,,,,
1406,herb & pepper,ground beef,cooking oil,chocolate,french fries,,,,,,,,,,,,,,,
1407,turkey,red wine,,,,,,,,,,,,,,,,,,
1408,ham,shrimp,spaghetti,cookies,,,,,,,,,,,,,,,,
1409,mineral water,soup,bacon,cake,light cream,eggplant,brownies,,,,,,,,,,,,,
1410,burgers,spaghetti,eggs,french fries,,,,,,,,,,,,,,,,
1411,burgers,spaghetti,,,,,,,,,,,,,,,,,,
1412,eggs,french fries,,,,,,,,,,,,,,,,,,
1413,ground beef,honey,chicken,pasta,,,,,,,,,,,,,,,,
1414,burgers,ground beef,mineral water,chocolate,champagne,,,,,,,,,,,,,,,
1415,burgers,ground beef,spaghetti,mineral water,soup,milk,french wine,honey,,,,,,,,,,,,
1416,ham,grated cheese,pepper,pancakes,honey,light cream,bug spray,escalope,,,,,,,,,,,,
1417,burgers,mineral water,milk,cake,chocolate,french fries,escalope,cookies,babies food,zucchini,,,,,,,,,,
1418,shrimp,pasta,,,,,,,,,,,,,,,,,,
1419,pancakes,light mayo,,,,,,,,,,,,,,,,,,
1420,green tea,,,,,,,,,,,,,,,,,,,
1421,burgers,frozen vegetables,tomatoes,spaghetti,mineral water,soup,avocado,milk,olive oil,chicken,whole wheat rice,protein bar,,,,,,,,
1422,herb & pepper,shrimp,frozen vegetables,tomatoes,avocado,chicken,eggs,pancakes,,,,,,,,,,,,
1423,whole wheat pasta,spaghetti,meatballs,milk,almonds,eggs,french fries,,,,,,,,,,,,,
1424,vegetables mix,oil,chocolate,escalope,zucchini,,,,,,,,,,,,,,,
1425,herb & pepper,tomato sauce,mineral water,,,,,,,,,,,,,,,,,
1426,burgers,ham,ground beef,spaghetti,mineral water,meatballs,milk,cake,brownies,,,,,,,,,,,
1427,eggs,,,,,,,,,,,,,,,,,,,
1428,turkey,eggs,frozen smoothie,,,,,,,,,,,,,,,,,
1429,burgers,grated cheese,mineral water,milk,eggs,whole wheat rice,fresh bread,green tea,,,,,,,,,,,,
1430,tomatoes,mineral water,olive oil,extra dark chocolate,,,,,,,,,,,,,,,,
1431,parmesan cheese,mineral water,extra dark chocolate,toothpaste,candy bars,,,,,,,,,,,,,,,
1432,gluten free bar,,,,,,,,,,,,,,,,,,,
1433,green tea,,,,,,,,,,,,,,,,,,,
1434,french fries,champagne,,,,,,,,,,,,,,,,,,
1435,escalope,pasta,mushroom cream sauce,,,,,,,,,,,,,,,,,
1436,chocolate,asparagus,,,,,,,,,,,,,,,,,,
1437,frozen smoothie,,,,,,,,,,,,,,,,,,,
1438,ham,energy drink,,,,,,,,,,,,,,,,,,
1439,tomatoes,chocolate,soup,pancakes,,,,,,,,,,,,,,,,
1440,spaghetti,pancakes,,,,,,,,,,,,,,,,,,
1441,turkey,honey,cake,clothes accessories,french fries,green tea,,,,,,,,,,,,,,
1442,cottage cheese,,,,,,,,,,,,,,,,,,,
1443,frozen vegetables,mineral water,almonds,bacon,eggs,barbecue sauce,,,,,,,,,,,,,,
1444,mineral water,honey,hot dogs,,,,,,,,,,,,,,,,,
1445,cookies,,,,,,,,,,,,,,,,,,,
1446,cookies,,,,,,,,,,,,,,,,,,,
1447,spaghetti,olive oil,cake,mushroom cream sauce,,,,,,,,,,,,,,,,
1448,french fries,,,,,,,,,,,,,,,,,,,
1449,eggs,french fries,energy drink,light mayo,low fat yogurt,,,,,,,,,,,,,,,
1450,eggs,,,,,,,,,,,,,,,,,,,
1451,avocado,green grapes,,,,,,,,,,,,,,,,,,
1452,cookies,,,,,,,,,,,,,,,,,,,
1453,chocolate,pancakes,rice,frozen smoothie,low fat yogurt,,,,,,,,,,,,,,,
1454,mineral water,chocolate,milk,salmon,pancakes,chicken,,,,,,,,,,,,,,
1455,cookies,,,,,,,,,,,,,,,,,,,
1456,green tea,,,,,,,,,,,,,,,,,,,
1457,french fries,cottage cheese,,,,,,,,,,,,,,,,,,
1458,herb & pepper,spaghetti,pancakes,cake,,,,,,,,,,,,,,,,
1459,cider,cake,,,,,,,,,,,,,,,,,,
1460,shrimp,frozen vegetables,spaghetti,mint,,,,,,,,,,,,,,,,
1461,cookies,,,,,,,,,,,,,,,,,,,
1462,eggs,french fries,,,,,,,,,,,,,,,,,,
1463,tomatoes,blueberries,mint,,,,,,,,,,,,,,,,,
1464,tomatoes,,,,,,,,,,,,,,,,,,,
1465,pancakes,,,,,,,,,,,,,,,,,,,
1466,burgers,mineral water,eggs,cookies,,,,,,,,,,,,,,,,
1467,tomatoes,mineral water,,,,,,,,,,,,,,,,,,
1468,spaghetti,eggs,,,,,,,,,,,,,,,,,,
1469,avocado,almonds,french wine,honey,whole wheat rice,,,,,,,,,,,,,,,
1470,turkey,,,,,,,,,,,,,,,,,,,
1471,shrimp,spaghetti,chocolate,light mayo,,,,,,,,,,,,,,,,
1472,shrimp,butter,fresh bread,,,,,,,,,,,,,,,,,
1473,tomatoes,soup,french fries,escalope,hand protein bar,tomato juice,,,,,,,,,,,,,,
1474,frozen vegetables,ground beef,mineral water,soup,milk,salmon,pancakes,,,,,,,,,,,,,
1475,turkey,spaghetti,mineral water,milk,flax seed,chicken,eggs,cake,,,,,,,,,,,,
1476,cookies,,,,,,,,,,,,,,,,,,,
1477,grated cheese,shrimp,french fries,cookies,pancakes,tomato juice,,,,,,,,,,,,,,
1478,eggs,low fat yogurt,,,,,,,,,,,,,,,,,,
1479,cookies,,,,,,,,,,,,,,,,,,,
1480,shrimp,frozen vegetables,tomatoes,spaghetti,,,,,,,,,,,,,,,,
1481,parmesan cheese,mineral water,champagne,white wine,low fat yogurt,,,,,,,,,,,,,,,
1482,frozen vegetables,,,,,,,,,,,,,,,,,,,
1483,nonfat milk,tomato juice,green tea,,,,,,,,,,,,,,,,,
1484,frozen vegetables,cake,french fries,,,,,,,,,,,,,,,,,
1485,energy bar,cake,,,,,,,,,,,,,,,,,,
1486,burgers,tomatoes,mineral water,bramble,,,,,,,,,,,,,,,,
1487,mineral water,,,,,,,,,,,,,,,,,,,
1488,burgers,strong cheese,champagne,escalope,,,,,,,,,,,,,,,,
1489,grated cheese,honey,cake,green tea,,,,,,,,,,,,,,,,
1490,mineral water,eggs,low fat yogurt,,,,,,,,,,,,,,,,,
1491,burgers,mineral water,avocado,corn,escalope,,,,,,,,,,,,,,,
1492,cake,french fries,,,,,,,,,,,,,,,,,,
1493,french fries,,,,,,,,,,,,,,,,,,,
1494,frozen vegetables,parmesan cheese,mineral water,eggplant,chocolate,frozen smoothie,,,,,,,,,,,,,,
1495,mineral water,chocolate,fresh bread,,,,,,,,,,,,,,,,,
1496,cookies,,,,,,,,,,,,,,,,,,,
1497,tomatoes,mineral water,,,,,,,,,,,,,,,,,,
1498,milk,yogurt cake,melons,,,,,,,,,,,,,,,,,
1499,olive oil,extra dark chocolate,,,,,,,,,,,,,,,,,,
1500,pickles,frozen vegetables,chocolate,sparkling water,green tea,,,,,,,,,,,,,,,
1501,burgers,bacon,champagne,light mayo,,,,,,,,,,,,,,,,
1502,spaghetti,chicken,eggs,,,,,,,,,,,,,,,,,
1503,low fat yogurt,,,,,,,,,,,,,,,,,,,
1504,champagne,,,,,,,,,,,,,,,,,,,
1505,burgers,ham,tomatoes,spaghetti,milk,eggs,whole wheat rice,chocolate,french fries,frozen smoothie,low fat yogurt,,,,,,,,,
1506,champagne,,,,,,,,,,,,,,,,,,,
1507,milk,butter,french fries,mushroom cream sauce,brownies,,,,,,,,,,,,,,,
1508,herb & pepper,nonfat milk,eggs,cooking oil,,,,,,,,,,,,,,,,
1509,spaghetti,,,,,,,,,,,,,,,,,,,
1510,candy bars,,,,,,,,,,,,,,,,,,,
1511,frozen vegetables,,,,,,,,,,,,,,,,,,,
1512,burgers,ham,frozen vegetables,french fries,tomato juice,,,,,,,,,,,,,,,
1513,turkey,shrimp,eggs,light cream,cottage cheese,,,,,,,,,,,,,,,
1514,frozen vegetables,tomatoes,ground beef,mineral water,milk,eggs,whole weat flour,cereals,antioxydant juice,tomato juice,green tea,,,,,,,,,
1515,shrimp,butter,soda,chocolate,tomato juice,,,,,,,,,,,,,,,
1516,grated cheese,chocolate,escalope,,,,,,,,,,,,,,,,,
1517,french fries,mayonnaise,,,,,,,,,,,,,,,,,,
1518,mineral water,,,,,,,,,,,,,,,,,,,
1519,chocolate,eggs,low fat yogurt,,,,,,,,,,,,,,,,,
1520,salmon,chicken,green tea,,,,,,,,,,,,,,,,,
1521,frozen vegetables,milk,fromage blanc,eggs,chocolate,french fries,champagne,salad,,,,,,,,,,,,
1522,ground beef,mineral water,pancakes,,,,,,,,,,,,,,,,,
1523,red wine,,,,,,,,,,,,,,,,,,,
1524,frozen vegetables,fresh bread,,,,,,,,,,,,,,,,,,
1525,mineral water,,,,,,,,,,,,,,,,,,,
1526,mineral water,avocado,eggs,cake,low fat yogurt,,,,,,,,,,,,,,,
1527,red wine,shrimp,chocolate,salmon,rice,whole weat flour,green tea,,,,,,,,,,,,,
1528,turkey,burgers,soup,olive oil,salmon,oatmeal,cottage cheese,light mayo,,,,,,,,,,,,
1529,french fries,cookies,,,,,,,,,,,,,,,,,,
1530,olive oil,rice,sparkling water,,,,,,,,,,,,,,,,,
1531,shrimp,ground beef,spaghetti,bug spray,chocolate,strawberries,,,,,,,,,,,,,,
1532,tomatoes,green tea,,,,,,,,,,,,,,,,,,
1533,ground beef,meatballs,salmon,cake,salt,tomato juice,fresh bread,,,,,,,,,,,,,
1534,tomatoes,ground beef,soda,frozen smoothie,mint,,,,,,,,,,,,,,,
1535,pepper,spaghetti,mineral water,chili,escalope,mint,,,,,,,,,,,,,,
1536,frozen vegetables,parmesan cheese,oil,green beans,tea,frozen smoothie,,,,,,,,,,,,,,
1537,spaghetti,whole wheat rice,french fries,cookies,green tea,,,,,,,,,,,,,,,
1538,shrimp,eggs,chocolate,mushroom cream sauce,low fat yogurt,,,,,,,,,,,,,,,
1539,cookies,green tea,,,,,,,,,,,,,,,,,,
1540,ground beef,spaghetti,mineral water,soup,chicken,pancakes,champagne,fresh bread,,,,,,,,,,,,
1541,frozen vegetables,tomatoes,mineral water,soup,milk,vegetables mix,,,,,,,,,,,,,,
1542,meatballs,,,,,,,,,,,,,,,,,,,
1543,ground beef,,,,,,,,,,,,,,,,,,,
1544,grated cheese,mineral water,cooking oil,,,,,,,,,,,,,,,,,
1545,tomatoes,milk,muffins,french fries,,,,,,,,,,,,,,,,
1546,cookies,low fat yogurt,,,,,,,,,,,,,,,,,,
1547,frozen vegetables,mineral water,chocolate,whole wheat rice,,,,,,,,,,,,,,,,
1548,grated cheese,tomatoes,spaghetti,mineral water,milk,nonfat milk,light cream,chicken,extra dark chocolate,cottage cheese,strawberries,,,,,,,,,
1549,tomatoes,fresh bread,,,,,,,,,,,,,,,,,,
1550,eggs,,,,,,,,,,,,,,,,,,,
1551,ham,burgers,mineral water,chocolate,butter,salmon,carrots,cereals,salad,,,,,,,,,,,
1552,french fries,,,,,,,,,,,,,,,,,,,
1553,ground beef,,,,,,,,,,,,,,,,,,,
1554,ground beef,mushroom cream sauce,,,,,,,,,,,,,,,,,,
1555,burgers,chocolate,cake,cookies,green tea,,,,,,,,,,,,,,,
1556,chocolate,champagne,,,,,,,,,,,,,,,,,,
1557,chocolate bread,mushroom cream sauce,salt,,,,,,,,,,,,,,,,,
1558,herb & pepper,shrimp,tomatoes,ground beef,spaghetti,olive oil,cooking oil,green beans,cereals,green tea,,,,,,,,,,
1559,fresh tuna,grated cheese,meatballs,whole weat flour,green tea,,,,,,,,,,,,,,,
1560,eggs,frozen smoothie,,,,,,,,,,,,,,,,,,
1561,frozen vegetables,eggs,,,,,,,,,,,,,,,,,,
1562,burgers,frozen vegetables,mineral water,soup,meatballs,olive oil,eggs,hand protein bar,mayonnaise,,,,,,,,,,,
1563,frozen vegetables,mineral water,chicken,salmon,eggs,pancakes,light mayo,mint,,,,,,,,,,,,
1564,french fries,,,,,,,,,,,,,,,,,,,
1565,mineral water,cake,honey,,,,,,,,,,,,,,,,,
1566,tomatoes,,,,,,,,,,,,,,,,,,,
1567,mineral water,,,,,,,,,,,,,,,,,,,
1568,ground beef,spaghetti,olive oil,cookies,pasta,green tea,,,,,,,,,,,,,,
1569,eggs,ham,,,,,,,,,,,,,,,,,,
1570,chocolate,olive oil,pancakes,eggs,,,,,,,,,,,,,,,,
1571,frozen vegetables,almonds,eggs,fresh bread,mint,,,,,,,,,,,,,,,
1572,burgers,chocolate,herb & pepper,ground beef,spaghetti,soup,milk,chicken,muffins,low fat yogurt,,,,,,,,,,
1573,french fries,,,,,,,,,,,,,,,,,,,
1574,eggs,chocolate,french fries,,,,,,,,,,,,,,,,,
1575,frozen vegetables,tomatoes,ground beef,spaghetti,avocado,olive oil,almonds,cake,green tea,,,,,,,,,,,
1576,frozen vegetables,ground beef,spaghetti,yams,zucchini,,,,,,,,,,,,,,,
1577,butter,cake,green tea,mushroom cream sauce,mint,,,,,,,,,,,,,,,
1578,ground beef,spaghetti,pancakes,chicken,mint green tea,chocolate,french fries,escalope,mushroom cream sauce,brownies,yogurt cake,,,,,,,,,
1579,tomatoes,avocado,eggs,cake,energy drink,,,,,,,,,,,,,,,
1580,mineral water,whole wheat rice,low fat yogurt,,,,,,,,,,,,,,,,,
1581,avocado,soda,,,,,,,,,,,,,,,,,,
1582,spaghetti,vegetables mix,rice,eggplant,green tea,,,,,,,,,,,,,,,
1583,grated cheese,red wine,milk,chicken,cider,salmon,rice,mint green tea,french fries,brownies,energy drink,melons,,,,,,,,
1584,turkey,pancakes,,,,,,,,,,,,,,,,,,
1585,mineral water,milk,almonds,bacon,eggs,rice,yogurt cake,,,,,,,,,,,,,
1586,turkey,grated cheese,shrimp,tomatoes,spaghetti,olive oil,butter,spinach,hot dogs,low fat yogurt,,,,,,,,,,
1587,olive oil,french fries,,,,,,,,,,,,,,,,,,
1588,soup,,,,,,,,,,,,,,,,,,,
1589,spaghetti,mineral water,spinach,eggs,rice,mint green tea,french fries,frozen smoothie,escalope,body spray,melons,,,,,,,,,
1590,fresh tuna,chocolate,french fries,,,,,,,,,,,,,,,,,
1591,mineral water,soup,eggs,cake,rice,cooking oil,,,,,,,,,,,,,,
1592,mineral water,chocolate,olive oil,flax seed,black tea,french wine,fromage blanc,salmon,protein bar,,,,,,,,,,,
1593,french fries,,,,,,,,,,,,,,,,,,,
1594,cooking oil,,,,,,,,,,,,,,,,,,,
1595,tomatoes,,,,,,,,,,,,,,,,,,,
1596,spaghetti,yams,green grapes,eggs,french fries,,,,,,,,,,,,,,,
1597,mineral water,cooking oil,mint,,,,,,,,,,,,,,,,,
1598,grated cheese,frozen vegetables,mineral water,eggs,cooking oil,,,,,,,,,,,,,,,
1599,soup,milk,salmon,,,,,,,,,,,,,,,,,
1600,cookies,,,,,,,,,,,,,,,,,,,
1601,fresh bread,,,,,,,,,,,,,,,,,,,
1602,strawberries,,,,,,,,,,,,,,,,,,,
1603,muffins,,,,,,,,,,,,,,,,,,,
1604,chocolate,,,,,,,,,,,,,,,,,,,
1605,dessert wine,grated cheese,shrimp,frozen vegetables,ground beef,spaghetti,mineral water,soup,avocado,milk,salmon,whole wheat rice,gums,oil,clothes accessories,frozen smoothie,,,,
1606,shrimp,frozen vegetables,ground beef,tomato sauce,spaghetti,mineral water,milk,chocolate,escalope,,,,,,,,,,,
1607,chocolate,shrimp,milk,olive oil,cider,cooking oil,hand protein bar,,,,,,,,,,,,,
1608,shrimp,mineral water,almonds,eggs,cake,blueberries,green tea,chocolate,french fries,escalope,cookies,mashed potato,brownies,pancakes,,,,,,
1609,chocolate,shallot,energy drink,,,,,,,,,,,,,,,,,
1610,tomatoes,whole wheat pasta,ground beef,spaghetti,mineral water,olive oil,,,,,,,,,,,,,,
1611,mineral water,soup,milk,salmon,cooking oil,ketchup,cereals,eggplant,french fries,magazines,,,,,,,,,,
1612,red wine,mineral water,soup,avocado,,,,,,,,,,,,,,,,
1613,turkey,red wine,ground beef,spaghetti,mineral water,milk,french wine,cereals,cottage cheese,yogurt cake,light mayo,tomato juice,,,,,,,,
1614,fresh tuna,herb & pepper,frozen vegetables,tomatoes,spaghetti,mineral water,avocado,milk,olive oil,black tea,spinach,eggs,french fries,cottage cheese,pancakes,,,,,
1615,shrimp,tomatoes,spaghetti,green beans,,,,,,,,,,,,,,,,
1616,burgers,spaghetti,avocado,pancakes,cake,fresh bread,,,,,,,,,,,,,,
1617,milk,,,,,,,,,,,,,,,,,,,
1618,chocolate,,,,,,,,,,,,,,,,,,,
1619,energy bar,eggs,cottage cheese,green tea,,,,,,,,,,,,,,,,
1620,pepper,chocolate,french fries,cookies,strawberries,babies food,fresh bread,magazines,,,,,,,,,,,,
1621,escalope,,,,,,,,,,,,,,,,,,,
1622,chocolate,cake,gums,champagne,protein bar,,,,,,,,,,,,,,,
1623,ground beef,chocolate,mint,,,,,,,,,,,,,,,,,
1624,burgers,fresh tuna,ham,grated cheese,frozen vegetables,tomatoes,parmesan cheese,spaghetti,mineral water,chocolate,olive oil,vegetables mix,nonfat milk,muffins,pancakes,cake,french fries,protein bar,,
1625,fresh tuna,mineral water,cider,eggs,brownies,low fat yogurt,,,,,,,,,,,,,,
1626,french fries,cookies,,,,,,,,,,,,,,,,,,
1627,chocolate,frozen vegetables,mineral water,cake,french fries,cottage cheese,brownies,pancakes,,,,,,,,,,,,
1628,burgers,tomatoes,mineral water,eggs,light cream,oil,french fries,,,,,,,,,,,,,
1629,spaghetti,french fries,,,,,,,,,,,,,,,,,,
1630,mineral water,escalope,,,,,,,,,,,,,,,,,,
1631,ground beef,,,,,,,,,,,,,,,,,,,
1632,chocolate,spaghetti,mineral water,,,,,,,,,,,,,,,,,
1633,frozen vegetables,tomatoes,mineral water,soup,milk,salmon,vegetables mix,honey,mint green tea,champagne,escalope,tomato juice,,,,,,,,
1634,grated cheese,ground beef,whole wheat rice,french fries,escalope,,,,,,,,,,,,,,,
1635,frozen vegetables,tomatoes,ground beef,mineral water,milk,energy bar,pancakes,honey,whole weat flour,french fries,,,,,,,,,,
1636,chocolate,fresh bread,,,,,,,,,,,,,,,,,,
1637,spaghetti,soup,cake,pet food,hot dogs,body spray,strawberries,fresh bread,,,,,,,,,,,,
1638,olive oil,salad,,,,,,,,,,,,,,,,,,
1639,mineral water,olive oil,,,,,,,,,,,,,,,,,,
1640,ground beef,spaghetti,mineral water,chocolate,escalope,,,,,,,,,,,,,,,
1641,burgers,whole wheat pasta,mineral water,milk,pancakes,,,,,,,,,,,,,,,
1642,salmon,,,,,,,,,,,,,,,,,,,
1643,herb & pepper,mineral water,chocolate,eggs,cereals,escalope,,,,,,,,,,,,,,
1644,ground beef,mineral water,milk,,,,,,,,,,,,,,,,,
1645,eggs,whole wheat rice,chocolate,,,,,,,,,,,,,,,,,
1646,cookies,yogurt cake,,,,,,,,,,,,,,,,,,
